,IT_relatedness,deterministic_following_activity,deterministic_preceding_activity,following_activities_standardization,preceding_activities_standardization,failure_rate,number_of_resources,ef_relative,median_execution_time,et_relative,stability,Confidence_activity_Automated,Confidence_activity_Physical or Cognitive Task,Confidence_action_Automated,Confidence_action_Low Automatable User Task,Confidence_action_High Automatable User Task,Confidence_action_Physical or Cognitive Task,Confidence_business object_Automated,Confidence_business object_Physical or Cognitive Task,task_type
86,1.0,False,False,19.0,30.0,1.801952580195258,9,0.029129278080894508,0.03,0.03567580469073072,163.54451921303675,0.8341858386993408,0.1658141016960144,0.22437039017677307,0.3351070284843445,0.24184755980968475,0.19867494702339167,0.6592307090759277,0.3407692909240723,Low Automatable User Task
66,1.0,False,False,0.0,0.0,1.0,2,4.285068464681395e-06,1452.0,9.682870370726958e-07,1330.6473829201104,0.5076293349266052,0.4923706352710724,0.20973320305347445,0.21252286434173584,0.1653653383255005,0.4123785495758057,0.0,0.0,Physical or Cognitive Task
55,0.5801490545272827,True,False,1.0,3.0,1.6835443037974684,10,0.00028495705290131285,0.0,0.0003738021424928496,885.9811723889319,0.8237981200218201,0.17620182037353516,0.22437039017677307,0.3351070284843445,0.24184755980968475,0.19867494702339167,0.7191538810729979,0.28084611892700195,High Automatable User Task
458,0.5801490545272827,False,True,5.0,1.0,1.7228695453506968,49,0.004725165311860585,157.0,0.002530034394182069,7.86154418758097,0.7579918503761292,0.24200817942619324,0.22437039017677307,0.3351070284843445,0.24184755980968475,0.19867494702339167,0.6701905727386475,0.3298094272613525,Physical or Cognitive Task
221,0.5540521740913391,False,False,5.0,4.0,1.0,5,0.0003832799747486135,0.0,3.127947847452782e-09,0.017564950980392152,0.5464447140693665,0.4535552561283112,0.2285026907920837,0.3421498239040375,0.2118354439735413,0.21751202642917636,0.7268760800361633,0.2731239199638367,Physical or Cognitive Task
286,1.0,True,True,1.0,1.0,1.0,1,2.254588086756549e-05,0.0,0.0,0.0,0.782187819480896,0.21781209111213684,0.2018750011920929,0.3107094764709473,0.19988007843494413,0.2875354886054993,0.7488500475883484,0.25114989280700684,Low Automatable User Task
451,1.0,False,False,0.0,0.0,1.0,1,3.7595798794804014e-06,90.5,2.08661386678702e-08,1.9744300677757245,0.6928438544273376,0.30715617537498474,0.0,0.0,0.0,0.0,0.7143920660018921,0.2856079339981079,Automated
322,0.6024184226989746,True,True,1.0,1.0,1.0,1,2.254588086756549e-05,0.0,0.0,0.0,0.7875092625617981,0.2124907225370407,0.19760820269584656,0.2802411019802093,0.17853178083896634,0.3436188697814941,0.5835002660751343,0.4164997637271881,Automated
614,0.6754818558692932,True,False,1.0,2.0,1.0,1,0.0009884766772935252,34560.0,0.00038594929341553,665.5885256916139,0.39944639801979065,0.6005535721778871,0.2084703892469406,0.19191177189350128,0.1494581550359726,0.4501596391201019,0.0,0.0,Low Automatable User Task
484,0.6281129121780396,False,False,0.0,0.0,1.0,2,2.717686705076639e-05,71592.65,0.0006013136935669334,0.0,0.2579430043697357,0.7420569658279419,0.20840828120708466,0.19818553328514102,0.1436859369277954,0.44972023367881775,0.3984242081642151,0.6015758514404297,Physical or Cognitive Task
79,1.0,False,False,13.0,3.0,1.0,8,0.004396446769175277,0.03,0.0009299223169241196,477.7273252949672,0.7729272246360779,0.2270727306604385,0.21213911473751068,0.2530545294284821,0.20726895332336426,0.32753732800483704,0.6313415765762329,0.3686584234237671,Low Automatable User Task
645,0.5434327125549316,False,False,0.0,5.0,1.0,0,0.0036808202970947867,1229865.0,0.0027060836379923145,41.46605309195064,0.6897536516189575,0.3102463483810425,0.20506989955902102,0.3318923413753509,0.2537300288677216,0.2093077450990677,0.5537047982215881,0.4462952315807343,Physical or Cognitive Task
255,0.5936272144317627,False,False,2.0,2.0,2.0,1,4.509176173513098e-05,0.56,5.838835981911861e-09,0.56,0.8414765000343323,0.15852349996566772,0.19858816266059875,0.2394351214170456,0.15330766141414642,0.4086690843105316,0.6831159591674805,0.3168839812278748,Low Automatable User Task
230,0.5552980899810791,False,False,6.0,6.0,1.0,4,0.00033818821301348246,0.0,3.127947847452782e-10,0.0011428571428571432,0.7650966048240662,0.23490342497825625,0.2377118468284607,0.3208305537700653,0.249430388212204,0.19202718138694766,0.774102509021759,0.22589750587940216,Automated
510,0.6281129121780396,False,False,3.0,0.0,1.0900473933649288,6,0.012605502575907012,675.0,0.007685377037824852,1084.664764062238,0.2155715823173523,0.7844283580780029,0.2065145969390869,0.21403315663337708,0.14413444697856906,0.4353177547454834,0.3984242081642151,0.6015758514404297,Physical or Cognitive Task
617,0.3732620477676392,False,False,6.0,2.0,1.0570981444220882,16,0.15713877423513628,377.8,0.010775507768437042,2.497729649494705,0.7370283603668213,0.26297155022621155,0.20506989955902102,0.3318923413753509,0.2537300288677216,0.2093077450990677,0.0,0.0,Low Automatable User Task
250,1.0,False,False,11.0,4.0,1.0,4,0.0004734634982188756,0.0,3.8056698810675515e-09,0.006337247227658188,0.8803088068962097,0.11969119310379027,0.21457335352897644,0.20579348504543304,0.1385335773229599,0.4410995841026306,0.6904734373092651,0.3095265626907349,Physical or Cognitive Task
4,0.5843467712402344,False,False,4.0,0.0,1.0,53,0.0195003813882542,6.23,0.0002194333841586483,0.0006847307390218407,0.7404911518096924,0.2595088481903076,0.1924121379852295,0.3260107338428497,0.2002950757741928,0.28128209710121155,0.7671414613723755,0.2328585982322693,Low Automatable User Task
569,0.5239957571029663,False,False,2.0,3.0,2.631578947368421,10,0.03586800573888093,0.0,0.003883495145631068,0.01714285714285713,0.5660762190818787,0.4339237809181213,0.21018733084201813,0.2083982080221176,0.14302514493465426,0.4383892416954041,0.5590302348136902,0.44096967577934265,Physical or Cognitive Task
158,1.0,False,False,22.0,17.0,1.6610169491525424,7,0.006628488975064283,0.09,0.022071328999740302,1745.713606825276,0.8667707443237305,0.13322924077510834,0.18502207100391388,0.3259229063987732,0.18569821119308472,0.303356796503067,0.6640207171440125,0.33597931265830994,Low Automatable User Task
391,1.0,False,False,2.0,8.0,2.1421220541319337,130,0.03311503237922942,1634.78,0.08922941064417388,3.684566772775822,0.8485488295555115,0.15145117044448853,0.0,0.0,0.0,0.0,0.6529701352119446,0.3470299243927002,Physical or Cognitive Task
560,0.5681877136230469,True,False,1.0,2.0,1.0384615384615383,7,0.0006236934200344186,1159.3,0.00014346059313754297,84.21151739016844,0.219992533326149,0.7800074219703674,0.2065145969390869,0.21403315663337708,0.14413444697856906,0.4353177547454834,0.3160761594772339,0.6839238405227661,Physical or Cognitive Task
218,0.5455296635627747,False,False,4.0,6.0,1.0,6,0.0007214681877620961,0.0,4.1705971299370426e-10,0.000564516129032258,0.585781455039978,0.414218544960022,0.18544505536556244,0.2572101354598999,0.14621759951114655,0.4111272394657135,0.6893993020057678,0.3106006979942322,Low Automatable User Task
611,0.686505913734436,False,False,0.0,0.0,1.0,0,0.007375282739950294,34560.0,0.01640433515788111,534.9316971202486,0.5431147217750549,0.4568853080272674,0.2565959692001343,0.3293075859546661,0.2507301568984985,0.16336636245250702,0.5452177524566649,0.4547822773456574,High Automatable User Task
512,0.5972120761871338,False,False,6.0,4.0,1.0,4,0.0335415981585002,1342.49,0.015788373164005155,7.004097464355751,0.20517948269844047,0.7948204874992371,0.2039087414741516,0.22029949724674225,0.15992756187915802,0.4158642888069153,0.3160761594772339,0.6839238405227661,Physical or Cognitive Task
65,0.4786182641983032,False,False,0.0,0.0,113.0,1,0.00024210636825449877,241.0,0.00024452415291750925,471.4691417356936,0.8669852614402771,0.1330147385597229,0.1997060775756836,0.28354912996292114,0.2171195298433304,0.2996252775192261,0.7336920499801636,0.2663079798221588,Automated
489,0.6281129121780396,False,False,6.0,6.0,1.0972556571978815,1,0.12490408856735312,9067.85,0.6060076828096242,38.081570817355924,0.3737584054470062,0.6262415647506714,0.2325587719678879,0.3710432350635529,0.21996326744556427,0.1764346957206726,0.3984242081642151,0.6015758514404297,High Automatable User Task
293,1.0,False,False,0.0,0.0,1.2857142857142858,4,0.00020291292780808947,0.0,1.1078565686108265e-05,61.84647346217554,0.8245204091072083,0.17547954618930814,0.2393220216035843,0.3745757937431336,0.2349509298801422,0.15115119516849518,0.7477352023124695,0.2522648274898529,High Automatable User Task
453,0.5473603010177612,False,False,5.0,3.0,1.0001247621721094,10,0.020091821472578583,90.0,0.001192523622294952,0.4788433154102682,0.8756043314933777,0.12439566850662233,0.211556613445282,0.36771899461746216,0.208145409822464,0.2125789374113083,0.6568927764892578,0.3431072235107422,Automated
214,0.6590256094932556,False,False,3.0,6.0,1.0,4,0.000180367046940524,5040035.0,0.009098887858382646,75542.8220118038,0.3296854197978973,0.6703145503997803,0.1950574219226837,0.2041036039590836,0.11868154257535934,0.4821573197841644,0.6770351529121399,0.3229648470878601,Physical or Cognitive Task
421,1.0000001192092896,True,False,1.0,9.0,1.4921875,71,0.0004557990284241898,5673155.0,0.0006528261951801707,27.19086532353976,0.8642488121986389,0.13575124740600586,0.2380427867174149,0.35322970151901245,0.2486167997121811,0.1601107269525528,0.0,0.0,High Automatable User Task
625,1.0,False,False,5.0,0.0,1.1853307138179436,12,0.008020223369867768,7228.245000000001,0.006615811566459877,68.61202689394078,0.7854608297348022,0.21453914046287534,0.0,0.0,0.0,0.0,0.7078800797462463,0.2921199202537537,Automated
627,0.6257888674736023,True,False,1.0,8.0,1.1515151515151516,6,8.41901900704317e-05,14964.829999999998,9.934296803636435e-05,4212.1126362216055,0.8238094449043274,0.17619052529335022,0.22437039017677307,0.3351070284843445,0.24184755980968475,0.19867494702339167,0.7018417119979858,0.2981583178043365,High Automatable User Task
165,1.0,False,False,11.0,13.0,1.0,9,0.007936150065383054,0.0,0.0058608232135834975,1220.0068073663135,0.7160188555717468,0.2839811146259308,0.2475389540195465,0.2758923172950745,0.2356061488389969,0.2409625500440597,0.7273819446563721,0.27261805534362793,Physical or Cognitive Task
369,0.5843467712402344,True,False,1.0,2.0,1.0,110,0.029571631396335694,8.12,0.019523635056043247,0.2775218144969852,0.7404911518096924,0.2595088481903076,0.1924121379852295,0.3260107338428497,0.2002950757741928,0.28128209710121155,0.7671414613723755,0.2328585982322693,Low Automatable User Task
217,0.6864859461784363,False,False,6.0,6.0,1.0,6,0.0007891058303647925,0.07,0.0024154721236893197,1474.869561565013,0.460550993680954,0.5394490361213684,0.20588397979736328,0.24644985795021054,0.20350344479084012,0.3441627025604248,0.6624717712402344,0.33752819895744324,Physical or Cognitive Task
380,0.5843467712402344,True,True,1.0,1.0,1.0,37,0.01719271126494606,0.0,3.0772501676077424e-10,1.4242522905144412e-06,0.7727181315422058,0.2272819131612777,0.22347702085971832,0.3278712034225464,0.23210422694683075,0.21654751896858213,0.7671414613723755,0.2328585982322693,Automated
43,0.5710995197296143,False,False,3.0,2.0,1.368886083938151,62,0.009294313499893436,0.0,0.00536164772946296,28.04464093229041,0.6817806959152222,0.31821924448013306,0.22347702085971832,0.3278712034225464,0.23210422694683075,0.21654751896858213,0.6851369738578796,0.3148630261421204,Physical or Cognitive Task
49,1.0,False,False,2.0,3.0,1.1041666666666667,87,0.0166924842041679,0.0,0.009675022711049084,18.02197667248869,0.8007364273071289,0.1992635428905487,0.1895245909690857,0.26435500383377075,0.15587078034877774,0.3902496099472046,0.7123590707778931,0.2876409292221069,Low Automatable User Task
520,0.5537296533584595,False,False,4.0,10.0,1.3592964824120604,1,0.08747877709890665,5810505.0,0.11830308614735985,6.0625391102360435,0.4331511855125427,0.5668487548828125,0.2325587719678879,0.3710432350635529,0.21996326744556427,0.1764346957206726,0.4147078096866608,0.5852922201156616,Physical or Cognitive Task
175,1.0,False,False,14.0,6.0,1.0,6,0.001826216350272803,0.0,1.981033636720096e-09,0.0008426738141650427,0.8805049061775208,0.11949510872364046,0.18544505536556244,0.2572101354598999,0.14621759951114655,0.4111272394657135,0.7486656308174133,0.25133439898490906,Low Automatable User Task
299,1.0,False,False,2.0,2.0,1.0,2,4.509176173513098e-05,0.36,3.753537416943338e-09,0.36,0.891528844833374,0.10847116261720656,0.2393220216035843,0.3745757937431336,0.2349509298801422,0.15115119516849518,0.8330512642860413,0.16694873571395874,High Automatable User Task
508,0.6281129121780396,False,False,7.0,2.0,1.0099473376243415,4,0.0945960758522427,0.45,0.008555411979155053,26.9616930506606,0.21610262989997864,0.7838973402976991,0.2039087414741516,0.22029949724674225,0.15992756187915802,0.4158642888069153,0.3984242081642151,0.6015758514404297,Physical or Cognitive Task
282,1.0,False,False,4.0,3.0,1.0,3,0.00011272940433782749,0.0,0.0,0.0,0.8144494891166687,0.1855505406856537,0.19706635177135468,0.2915399670600891,0.1893773227930069,0.3220164477825165,0.6715366840362549,0.32846325635910034,Low Automatable User Task
312,0.4606617987155914,False,False,3.0,3.0,1.0,2,9.018352347026196e-05,0.0,0.0,0.0,0.6285838484764099,0.3714161515235901,0.2010731399059296,0.2257559448480606,0.1469419300556183,0.4262289106845856,0.6980792880058289,0.30192068219184875,Physical or Cognitive Task
652,0.6196820735931396,False,False,0.0,0.0,1.0817417876241406,34,0.16509268975166635,0.76,0.3937780046924793,66.79008645092804,0.6148462295532227,0.38515374064445496,0.19989585876464844,0.2742776870727539,0.1885275691747665,0.33729881048202515,0.563565731048584,0.4364342391490936,Physical or Cognitive Task
280,0.5927740931510925,True,True,1.0,1.0,1.0,1,0.00011272940433782749,0.13,3.5971400245706997e-09,0.007057971014492753,0.7452719211578369,0.2547280490398407,0.18502207100391388,0.3259229063987732,0.18569821119308472,0.303356796503067,0.6770351529121399,0.3229648470878601,Low Automatable User Task
411,0.7834091782569885,False,False,6.0,0.0,2.300124533001245,43,0.0007346080327221017,0.09,2.3167215092364723e-05,52.98853090671376,0.8589650392532349,0.14103493094444275,0.2200354039669037,0.1851336508989334,0.14537353813648224,0.4494574964046478,0.6491799354553223,0.3508200347423553,High Automatable User Task
229,0.6590256094932556,False,False,3.0,4.0,1.0,4,0.00033818821301348246,0.0,1.4075765313537519e-09,0.0038730158730158736,0.7325752377510071,0.2674247622489929,0.24956344068050385,0.3617633879184723,0.2462342977523804,0.14243879914283752,0.6895508170127869,0.3104491233825684,Low Automatable User Task
384,1.0,True,True,1.0,1.0,1.2565508836075563,37,0.005774309085155479,0.0,2.5002657611812905e-10,8.014892137646601e-06,0.5009669065475464,0.499033123254776,0.20608815550804135,0.21562430262565613,0.15080390870571134,0.4274836778640747,0.5296938419342041,0.4703061878681183,Physical or Cognitive Task
143,0.6540809273719788,False,False,8.0,16.0,1.0,8,0.006718672498534473,0.0,0.004269306353616215,203.89361018874482,0.8676498532295227,0.1323501467704773,0.22073450684547424,0.4045023620128632,0.2473345845937729,0.1274285912513733,0.8246219754219055,0.1753780096769333,Low Automatable User Task
414,0.5746904611587524,False,False,4.0,4.0,1.52734375,32,0.00015551258299639032,0.15,7.701540445175004e-05,287.40364599371964,0.7598038911819458,0.2401961088180542,0.20872655510902405,0.19770605862140656,0.13594365119934082,0.4576237797737122,0.0,0.0,Physical or Cognitive Task
658,0.6754818558692932,False,False,0.0,0.0,1.0,9,0.002331817651859624,0.63,1.3173716347078878e-06,0.02196176965186591,0.7466146349906921,0.25338536500930786,0.19989585876464844,0.2742776870727539,0.1885275691747665,0.33729881048202515,0.7001197934150696,0.2998802065849304,Physical or Cognitive Task
